Epoch [1/50] D_loss: 0.0081, G_loss: 5.4490
Epoch [2/50] D_loss: 0.1160, G_loss: 3.2892
Epoch [3/50] D_loss: 0.1573, G_loss: 13.0757
Epoch [4/50] D_loss: 0.0141, G_loss: 5.9846
Epoch [5/50] D_loss: 0.0014, G_loss: 6.7960
Epoch [6/50] D_loss: 0.0001, G_loss: 9.8854
Epoch [7/50] D_loss: 0.0000, G_loss: 10.3828
Epoch [8/50] D_loss: 0.0000, G_loss: 10.3883
Epoch [9/50] D_loss: 0.0001, G_loss: 10.0483
Epoch [10/50] D_loss: 0.0000, G_loss: 10.8088
Epoch [11/50] D_loss: 0.0001, G_loss: 9.1886
Epoch [12/50] D_loss: 0.0000, G_loss: 10.0484
Epoch [13/50] D_loss: 0.0000, G_loss: 11.9131
Epoch [14/50] D_loss: 0.0000, G_loss: 12.9631
Epoch [15/50] D_loss: 0.0000, G_loss: 13.8422
Epoch [16/50] D_loss: 0.0000, G_loss: 14.4128
Epoch [17/50] D_loss: 0.0000, G_loss: 14.7406
Epoch [18/50] D_loss: 0.0000, G_loss: 15.1432
Epoch [19/50] D_loss: 0.0000, G_loss: 15.4364
Epoch [20/50] D_loss: 0.0000, G_loss: 14.2397
Epoch [21/50] D_loss: 0.0000, G_loss: 15.9307
Epoch [22/50] D_loss: 0.0000, G_loss: 36.5263
Epoch [23/50] D_loss: 0.0000, G_loss: 14.3013
Epoch [24/50] D_loss: 0.0000, G_loss: 16.6345
Epoch [25/50] D_loss: 0.0000, G_loss: 17.2543
Epoch [26/50] D_loss: 0.0000, G_loss: 17.9504
Epoch [27/50] D_loss: 0.0000, G_loss: 18.4817
Epoch [28/50] D_loss: 0.0000, G_loss: 18.8941
Epoch [29/50] D_loss: 0.0000, G_loss: 19.2243
Epoch [30/50] D_loss: 0.0000, G_loss: 19.5525
Epoch [31/50] D_loss: 0.0000, G_loss: 19.8534
Epoch [32/50] D_loss: 0.0000, G_loss: 20.1486
Epoch [33/50] D_loss: 0.0000, G_loss: 20.3091
Epoch [34/50] D_loss: 0.0000, G_loss: 20.6041
Epoch [35/50] D_loss: 0.0000, G_loss: 20.8959
Epoch [36/50] D_loss: 0.0000, G_loss: 21.1736
Epoch [37/50] D_loss: 0.0000, G_loss: 21.4424
Epoch [38/50] D_loss: 0.0000, G_loss: 21.7057
Epoch [39/50] D_loss: 0.0000, G_loss: 21.9625
Epoch [40/50] D_loss: 0.0000, G_loss: 22.2178
Epoch [41/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [42/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [43/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [44/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [45/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [46/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [47/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [48/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [49/50] D_loss: 0.0000, G_loss: 100.0000
Epoch [50/50] D_loss: 0.0000, G_loss: 100.0000
